Random seed 1,Test set partition 5
Train track nr,Class train,Test track nr,Class test
855,2(country)
,,54,7(pop)
,,462,8(reggae)
,,606,9(rock)
,,818,2(country)
,,899,2(country)

296,3(disco)
,,462,8(reggae)
,,441,8(reggae)
,,624,9(rock)
,,330,0(blues)
,,292,3(disco)
,,818,2(country)
,,332,0(blues)

177,6(metal)
,,156,6(metal)
,,843,2(country)
,,651,9(rock)
,,844,2(country)
,,115,6(metal)

868,2(country)
,,54,7(pop)
,,881,2(country)
,,502,1(classical)
,,462,8(reggae)
,,899,2(country)

591,1(classical)
,,503,1(classical)
,,542,1(classical)
,,588,1(classical)
,,571,1(classical)

564,1(classical)
,,503,1(classical)
,,506,1(classical)
,,542,1(classical)
,,588,1(classical)

689,9(rock)
,,624,9(rock)
,,277,3(disco)
,,835,2(country)
,,818,2(country)
,,115,6(metal)

85,7(pop)
,,462,8(reggae)
,,624,9(rock)
,,841,2(country)
,,292,3(disco)
,,818,2(country)

639,9(rock)
,,624,9(rock)
,,841,2(country)
,,330,0(blues)
,,292,3(disco)

163,6(metal)
,,156,6(metal)
,,651,9(rock)
,,141,6(metal)
,,844,2(country)

225,3(disco)
,,624,9(rock)
,,330,0(blues)
,,213,3(disco)
,,292,3(disco)
,,332,0(blues)

703,4(hiphop)
,,624,9(rock)
,,818,2(country)
,,683,9(rock)
,,332,0(blues)
,,115,6(metal)

560,1(classical)
,,503,1(classical)
,,900,5(jazz)
,,588,1(classical)
,,571,1(classical)

804,2(country)
,,606,9(rock)
,,820,2(country)
,,624,9(rock)
,,818,2(country)

579,1(classical)
,,503,1(classical)
,,542,1(classical)
,,588,1(classical)
,,571,1(classical)

611,9(rock)
,,156,6(metal)
,,651,9(rock)
,,683,9(rock)
,,115,6(metal)

555,1(classical)
,,503,1(classical)
,,542,1(classical)
,,901,5(jazz)
,,588,1(classical)

958,5(jazz)
,,881,2(country)
,,502,1(classical)
,,462,8(reggae)
,,382,0(blues)
,,899,2(country)

91,7(pop)
,,54,7(pop)
,,462,8(reggae)
,,441,8(reggae)
,,624,9(rock)
,,819,2(country)

682,9(rock)
,,462,8(reggae)
,,624,9(rock)
,,292,3(disco)
,,818,2(country)
,,332,0(blues)
,,115,6(metal)

688,9(rock)
,,624,9(rock)
,,835,2(country)
,,818,2(country)
,,332,0(blues)
,,115,6(metal)

643,9(rock)
,,462,8(reggae)
,,382,0(blues)
,,292,3(disco)
,,899,2(country)

960,5(jazz)
,,843,2(country)
,,624,9(rock)
,,835,2(country)
,,818,2(country)

612,9(rock)
,,156,6(metal)
,,843,2(country)
,,651,9(rock)
,,844,2(country)
,,115,6(metal)

142,6(metal)
,,156,6(metal)
,,161,6(metal)
,,141,6(metal)
,,844,2(country)

394,0(blues)
,,462,8(reggae)
,,624,9(rock)
,,330,0(blues)
,,292,3(disco)
,,332,0(blues)

139,6(metal)
,,277,3(disco)
,,651,9(rock)
,,835,2(country)
,,844,2(country)
,,115,6(metal)

838,2(country)
,,843,2(country)
,,651,9(rock)
,,835,2(country)
,,844,2(country)

244,3(disco)
,,843,2(country)
,,277,3(disco)
,,835,2(country)
,,818,2(country)

544,1(classical)
,,503,1(classical)
,,542,1(classical)
,,588,1(classical)
,,571,1(classical)

154,6(metal)
,,54,7(pop)
,,462,8(reggae)
,,606,9(rock)
,,624,9(rock)
,,818,2(country)
,,332,0(blues)

894,2(country)
,,54,7(pop)
,,462,8(reggae)
,,606,9(rock)
,,441,8(reggae)
,,624,9(rock)
,,818,2(country)
,,899,2(country)

895,2(country)
,,54,7(pop)
,,624,9(rock)
,,818,2(country)
,,671,9(rock)

155,6(metal)
,,277,3(disco)
,,835,2(country)
,,141,6(metal)
,,844,2(country)

