Random seed 1,Test set partition 1
Train track nr,Class train,Test track nr,Class test
582,1(classical)
,,561,1(classical)
,,501,1(classical)
,,526,1(classical)
,,574,1(classical)

569,1(classical)
,,533,1(classical)
,,501,1(classical)
,,591,1(classical)
,,524,1(classical)
,,567,1(classical)
,,564,1(classical)

522,1(classical)
,,816,2(country)
,,501,1(classical)
,,563,1(classical)
,,564,1(classical)

536,1(classical)
,,561,1(classical)
,,526,1(classical)
,,574,1(classical)
,,598,1(classical)

578,1(classical)
,,561,1(classical)
,,574,1(classical)
,,563,1(classical)
,,598,1(classical)

560,1(classical)
,,526,1(classical)
,,591,1(classical)
,,553,1(classical)
,,598,1(classical)

547,1(classical)
,,816,2(country)
,,501,1(classical)
,,563,1(classical)
,,598,1(classical)
,,564,1(classical)

809,2(country)
,,816,2(country)
,,868,2(country)
,,552,1(classical)
,,896,2(country)

579,1(classical)
,,561,1(classical)
,,526,1(classical)
,,591,1(classical)
,,574,1(classical)
,,516,1(classical)
,,563,1(classical)
,,598,1(classical)

555,1(classical)
,,501,1(classical)
,,514,1(classical)
,,526,1(classical)
,,591,1(classical)
,,516,1(classical)
,,563,1(classical)
,,598,1(classical)
,,564,1(classical)

558,1(classical)
,,561,1(classical)
,,526,1(classical)
,,591,1(classical)
,,574,1(classical)
,,598,1(classical)

513,1(classical)
,,533,1(classical)
,,526,1(classical)
,,591,1(classical)
,,574,1(classical)
,,516,1(classical)

503,1(classical)
,,514,1(classical)
,,526,1(classical)
,,591,1(classical)
,,574,1(classical)
,,516,1(classical)
,,563,1(classical)
,,598,1(classical)
,,564,1(classical)

588,1(classical)
,,501,1(classical)
,,514,1(classical)
,,526,1(classical)
,,591,1(classical)
,,516,1(classical)
,,563,1(classical)
,,598,1(classical)
,,564,1(classical)

595,1(classical)
,,561,1(classical)
,,526,1(classical)
,,563,1(classical)
,,598,1(classical)

883,2(country)
,,816,2(country)
,,868,2(country)
,,856,2(country)
,,805,2(country)

534,1(classical)
,,514,1(classical)
,,591,1(classical)
,,516,1(classical)
,,564,1(classical)

550,1(classical)
,,561,1(classical)
,,526,1(classical)
,,591,1(classical)
,,574,1(classical)
,,553,1(classical)
,,563,1(classical)
,,598,1(classical)

568,1(classical)
,,561,1(classical)
,,526,1(classical)
,,574,1(classical)
,,553,1(classical)
,,598,1(classical)

559,1(classical)
,,526,1(classical)
,,516,1(classical)
,,563,1(classical)
,,598,1(classical)
,,564,1(classical)

530,1(classical)
,,561,1(classical)
,,553,1(classical)
,,563,1(classical)
,,598,1(classical)

543,1(classical)
,,533,1(classical)
,,501,1(classical)
,,563,1(classical)
,,564,1(classical)

