Random seed 1,Test set partition 7
Train track nr,Class train,Test track nr,Class test
923,5(jazz)
,,666,9(rock)
,,824,2(country)
,,875,2(country)
,,559,1(classical)

880,2(country)
,,666,9(rock)
,,226,3(disco)
,,824,2(country)
,,829,2(country)
,,865,2(country)
,,842,2(country)

816,2(country)
,,666,9(rock)
,,824,2(country)
,,875,2(country)
,,815,2(country)
,,865,2(country)
,,884,2(country)

177,6(metal)
,,139,6(metal)
,,660,9(rock)
,,838,2(country)
,,244,3(disco)
,,678,9(rock)

868,2(country)
,,666,9(rock)
,,824,2(country)
,,875,2(country)
,,642,9(rock)
,,815,2(country)
,,865,2(country)
,,884,2(country)
,,878,2(country)

563,1(classical)
,,550,1(classical)
,,544,1(classical)
,,559,1(classical)
,,530,1(classical)

598,1(classical)
,,550,1(classical)
,,544,1(classical)
,,568,1(classical)
,,559,1(classical)
,,530,1(classical)

564,1(classical)
,,534,1(classical)
,,982,5(jazz)
,,529,1(classical)
,,544,1(classical)
,,559,1(classical)

689,9(rock)
,,139,6(metal)
,,653,9(rock)
,,244,3(disco)
,,678,9(rock)

522,1(classical)
,,666,9(rock)
,,824,2(country)
,,544,1(classical)
,,559,1(classical)

681,9(rock)
,,139,6(metal)
,,653,9(rock)
,,660,9(rock)
,,678,9(rock)

809,2(country)
,,537,1(classical)
,,226,3(disco)
,,824,2(country)
,,815,2(country)
,,878,2(country)

800,2(country)
,,824,2(country)
,,642,9(rock)
,,865,2(country)
,,842,2(country)

684,9(rock)
,,660,9(rock)
,,184,6(metal)
,,244,3(disco)
,,678,9(rock)

579,1(classical)
,,550,1(classical)
,,544,1(classical)
,,568,1(classical)
,,559,1(classical)
,,530,1(classical)

611,9(rock)
,,139,6(metal)
,,653,9(rock)
,,660,9(rock)
,,244,3(disco)
,,678,9(rock)

555,1(classical)
,,982,5(jazz)
,,550,1(classical)
,,544,1(classical)
,,559,1(classical)

342,0(blues)
,,350,0(blues)
,,343,0(blues)
,,366,0(blues)
,,345,0(blues)

812,2(country)
,,666,9(rock)
,,69,7(pop)
,,982,5(jazz)
,,824,2(country)

688,9(rock)
,,139,6(metal)
,,838,2(country)
,,244,3(disco)
,,267,3(disco)

54,7(pop)
,,653,9(rock)
,,666,9(rock)
,,824,2(country)
,,875,2(country)

503,1(classical)
,,534,1(classical)
,,550,1(classical)
,,946,5(jazz)
,,544,1(classical)
,,559,1(classical)

277,3(disco)
,,139,6(metal)
,,244,3(disco)
,,967,5(jazz)
,,678,9(rock)

651,9(rock)
,,139,6(metal)
,,660,9(rock)
,,838,2(country)
,,678,9(rock)

835,2(country)
,,139,6(metal)
,,838,2(country)
,,244,3(disco)
,,267,3(disco)

588,1(classical)
,,550,1(classical)
,,544,1(classical)
,,568,1(classical)
,,559,1(classical)

595,1(classical)
,,550,1(classical)
,,946,5(jazz)
,,544,1(classical)
,,568,1(classical)
,,559,1(classical)

372,0(blues)
,,350,0(blues)
,,343,0(blues)
,,366,0(blues)
,,345,0(blues)

612,9(rock)
,,139,6(metal)
,,660,9(rock)
,,838,2(country)
,,244,3(disco)
,,678,9(rock)

883,2(country)
,,824,2(country)
,,642,9(rock)
,,865,2(country)
,,842,2(country)

955,5(jazz)
,,982,5(jazz)
,,824,2(country)
,,911,5(jazz)
,,544,1(classical)
,,559,1(classical)

548,1(classical)
,,550,1(classical)
,,544,1(classical)
,,568,1(classical)
,,559,1(classical)
,,530,1(classical)

687,9(rock)
,,653,9(rock)
,,666,9(rock)
,,824,2(country)
,,875,2(country)

