Random seed 1,Test set partition 2
Train track nr,Class train,Test track nr,Class test
296,3(disco)
,,689,9(rock)
,,85,7(pop)
,,846,2(country)
,,639,9(rock)
,,225,3(disco)

177,6(metal)
,,689,9(rock)
,,163,6(metal)
,,111,6(metal)
,,645,9(rock)
,,691,9(rock)

387,0(blues)
,,689,9(rock)
,,85,7(pop)
,,639,9(rock)
,,116,6(metal)
,,225,3(disco)

804,2(country)
,,689,9(rock)
,,85,7(pop)
,,846,2(country)
,,228,3(disco)

611,9(rock)
,,689,9(rock)
,,163,6(metal)
,,116,6(metal)
,,111,6(metal)
,,645,9(rock)

682,9(rock)
,,689,9(rock)
,,85,7(pop)
,,846,2(country)
,,116,6(metal)
,,225,3(disco)
,,645,9(rock)

624,9(rock)
,,689,9(rock)
,,85,7(pop)
,,846,2(country)
,,639,9(rock)
,,225,3(disco)

651,9(rock)
,,163,6(metal)
,,111,6(metal)
,,645,9(rock)
,,691,9(rock)

818,2(country)
,,689,9(rock)
,,85,7(pop)
,,846,2(country)
,,645,9(rock)

81,7(pop)
,,689,9(rock)
,,85,7(pop)
,,225,3(disco)
,,645,9(rock)

612,9(rock)
,,689,9(rock)
,,163,6(metal)
,,111,6(metal)
,,645,9(rock)
,,691,9(rock)

145,6(metal)
,,689,9(rock)
,,85,7(pop)
,,672,9(rock)
,,645,9(rock)

154,6(metal)
,,689,9(rock)
,,85,7(pop)
,,846,2(country)
,,672,9(rock)

698,9(rock)
,,116,6(metal)
,,111,6(metal)
,,691,9(rock)
,,305,0(blues)

616,9(rock)
,,85,7(pop)
,,846,2(country)
,,351,0(blues)
,,228,3(disco)

634,9(rock)
,,85,7(pop)
,,672,9(rock)
,,663,9(rock)
,,230,3(disco)

955,5(jazz)
,,993,5(jazz)
,,919,5(jazz)
,,522,1(classical)
,,830,2(country)

621,9(rock)
,,85,7(pop)
,,351,0(blues)
,,230,3(disco)
,,934,5(jazz)

877,2(country)
,,85,7(pop)
,,846,2(country)
,,639,9(rock)
,,259,3(disco)
,,313,0(blues)

669,9(rock)
,,689,9(rock)
,,85,7(pop)
,,111,6(metal)
,,645,9(rock)

836,2(country)
,,111,6(metal)
,,645,9(rock)
,,691,9(rock)
,,305,0(blues)

