Random seed 1,Test set partition 6
Train track nr,Class train,Test track nr,Class test
120,6(metal)
,,334,0(blues)
,,130,6(metal)
,,652,9(rock)
,,151,6(metal)

807,2(country)
,,643,9(rock)
,,885,2(country)
,,924,5(jazz)
,,883,2(country)

234,3(disco)
,,334,0(blues)
,,81,7(pop)
,,209,3(disco)
,,869,2(country)

990,5(jazz)
,,885,2(country)
,,654,9(rock)
,,924,5(jazz)
,,883,2(country)

296,3(disco)
,,81,7(pop)
,,304,0(blues)
,,869,2(country)
,,394,0(blues)

657,9(rock)
,,81,7(pop)
,,921,5(jazz)
,,304,0(blues)
,,960,5(jazz)
,,825,2(country)
,,318,0(blues)
,,97,7(pop)
,,145,6(metal)

689,9(rock)
,,81,7(pop)
,,921,5(jazz)
,,304,0(blues)
,,43,7(pop)
,,960,5(jazz)
,,612,9(rock)
,,652,9(rock)
,,869,2(country)
,,145,6(metal)

163,6(metal)
,,140,6(metal)
,,612,9(rock)
,,142,6(metal)
,,124,6(metal)

149,6(metal)
,,140,6(metal)
,,152,6(metal)
,,142,6(metal)
,,124,6(metal)

225,3(disco)
,,334,0(blues)
,,81,7(pop)
,,869,2(country)
,,394,0(blues)

645,9(rock)
,,81,7(pop)
,,43,7(pop)
,,612,9(rock)
,,97,7(pop)
,,145,6(metal)

703,4(hiphop)
,,334,0(blues)
,,81,7(pop)
,,159,6(metal)
,,810,2(country)
,,652,9(rock)

682,9(rock)
,,334,0(blues)
,,81,7(pop)
,,304,0(blues)
,,43,7(pop)
,,869,2(country)
,,394,0(blues)
,,145,6(metal)

619,9(rock)
,,81,7(pop)
,,159,6(metal)
,,921,5(jazz)
,,960,5(jazz)
,,825,2(country)
,,97,7(pop)
,,145,6(metal)

688,9(rock)
,,81,7(pop)
,,921,5(jazz)
,,304,0(blues)
,,960,5(jazz)
,,318,0(blues)

156,6(metal)
,,140,6(metal)
,,612,9(rock)
,,142,6(metal)
,,124,6(metal)

881,2(country)
,,853,2(country)
,,885,2(country)
,,870,2(country)
,,883,2(country)

161,6(metal)
,,140,6(metal)
,,152,6(metal)
,,142,6(metal)
,,124,6(metal)

624,9(rock)
,,334,0(blues)
,,81,7(pop)
,,960,5(jazz)
,,394,0(blues)
,,145,6(metal)

899,2(country)
,,643,9(rock)
,,885,2(country)
,,870,2(country)
,,924,5(jazz)
,,883,2(country)

139,6(metal)
,,334,0(blues)
,,81,7(pop)
,,612,9(rock)
,,652,9(rock)
,,869,2(country)

642,9(rock)
,,643,9(rock)
,,321,0(blues)
,,870,2(country)
,,883,2(country)

865,2(country)
,,853,2(country)
,,885,2(country)
,,870,2(country)
,,883,2(country)

244,3(disco)
,,960,5(jazz)
,,612,9(rock)
,,97,7(pop)
,,145,6(metal)

154,6(metal)
,,159,6(metal)
,,921,5(jazz)
,,960,5(jazz)
,,394,0(blues)
,,145,6(metal)

616,9(rock)
,,853,2(country)
,,885,2(country)
,,870,2(country)
,,883,2(country)

669,9(rock)
,,81,7(pop)
,,159,6(metal)
,,921,5(jazz)
,,960,5(jazz)
,,394,0(blues)
,,145,6(metal)

125,6(metal)
,,140,6(metal)
,,152,6(metal)
,,142,6(metal)
,,124,6(metal)

216,3(disco)
,,81,7(pop)
,,304,0(blues)
,,318,0(blues)
,,209,3(disco)
,,869,2(country)

931,5(jazz)
,,921,5(jazz)
,,960,5(jazz)
,,825,2(country)
,,145,6(metal)

