Random seed 1,Test set partition 8
Train track nr,Class train,Test track nr,Class test
296,3(disco)
,,154,6(metal)
,,396,0(blues)
,,894,2(country)
,,871,2(country)

880,2(country)
,,913,5(jazz)
,,616,9(rock)
,,806,2(country)
,,955,5(jazz)

866,2(country)
,,89,7(pop)
,,616,9(rock)
,,331,0(blues)
,,634,9(rock)

85,7(pop)
,,154,6(metal)
,,616,9(rock)
,,894,2(country)
,,634,9(rock)

682,9(rock)
,,299,3(disco)
,,154,6(metal)
,,396,0(blues)
,,894,2(country)

619,9(rock)
,,154,6(metal)
,,698,9(rock)
,,697,9(rock)
,,169,6(metal)

54,7(pop)
,,154,6(metal)
,,697,9(rock)
,,893,2(country)
,,894,2(country)

462,8(reggae)
,,154,6(metal)
,,89,7(pop)
,,444,8(reggae)
,,616,9(rock)
,,894,2(country)

624,9(rock)
,,299,3(disco)
,,154,6(metal)
,,894,2(country)
,,634,9(rock)

818,2(country)
,,154,6(metal)
,,697,9(rock)
,,893,2(country)
,,894,2(country)

394,0(blues)
,,154,6(metal)
,,396,0(blues)
,,894,2(country)
,,871,2(country)

883,2(country)
,,913,5(jazz)
,,616,9(rock)
,,893,2(country)
,,955,5(jazz)

642,9(rock)
,,89,7(pop)
,,444,8(reggae)
,,616,9(rock)
,,806,2(country)
,,871,2(country)

621,9(rock)
,,154,6(metal)
,,89,7(pop)
,,616,9(rock)
,,806,2(country)
,,634,9(rock)

